group_name,m_id,day_of_study,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,MeanAbsoluteDeviation,Mean,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance,Elongation,MajorAxisLength,MaximumDiameter,MeshSurface,MinorAxisLength,Perimeter,PerimeterSurfaceRatio,PixelSurface,Sphericity,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,Busyness,Coarseness,Complexity,Strength,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis
2,1258,7,0.003952568936216852,0.46445500523642524,0.09557543188736319,0.0,0.775086526770153,0.19864957975951283,1.0,0.8929222999060741,0.1339648698174064,0.028225806691015397,0.0,1.0,0.8388099225246305,0.22871631786897895,0.7842216079896532,0.09557543188736319,0.0,0.783610500900013,0.99942869106489,0.9740233274433892,1.0000000000000002,0.9999464291180703,0.9758257960630867,0.7041161439051176,0.0004992386255573116,0.9999387751978326,0.9131460943747904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999387751978326,0.0,0.0,0.0,0.9157677188082876,0.9157677188082876,0.9157677188082876,0.0,0.9156050611670135,0.3634902709995107,0.36535333969160594,0.0006152084464931921,0.7744341895903843,0.0914561395992236,0.0914561395992236,0.0914561395992236,0.0,0.4999235097198652,0.4999235097198652,0.4999235097198652,0.0,0.0,0.4648058252427184,0.5714285714278794,0.5714285714278794,0.5714285714278794,0.24011130530177477,9.945300649834072e-05,1.0,0.0,0.0,0.0,0.0,0.0038734022856262637,0.9991910885136166,0.9979487489097634,0.004400892733296566,0.0,0.9993432476019518,0.9993432476019518,0.9993432476019518,0.0,0.0003946205784310375,0.0003946205784310375,0.0003946205784310375
2,1258,7,0.007905138811118435,0.3886255894298676,0.07984322849761598,0.0,0.719723208125172,0.20767146346883827,1.0,0.7853235200397054,0.12536019240254526,0.06854838877259159,0.0,1.0,0.7659323965575358,0.19911333734342107,0.7689932822975944,0.07984322849761598,0.0,0.6063085368663523,0.9994528871728028,0.9739912132655071,1.0000000000000002,1.0,0.9758060272990672,0.7025680396933114,0.0004862384630877599,0.9999999999999998,0.9151934475017061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.9199649505140665,0.9199649505140665,0.9199649505140665,0.0,0.9161155277243047,0.3640442810228764,0.3691628691057038,0.0005986472355206697,0.7708687916736252,0.08371999664159649,0.08371999664159649,0.08371999664159649,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003816232844103075,0.9992850523218044,0.9979880482631667,0.004153931299077679,0.0,0.999353293910031,0.999353293910031,0.999353293910031,0.0,0.0002890916625426093,0.0002890916625426093,0.0002890916625426093
2,1258,14,0.0,0.09004738850007002,0.021326022916236337,0.0,0.36908882164540213,0.2745343935235603,1.0,0.39683889150047685,0.028097690754057894,0.03225806451612908,0.0,1.0,0.38618769878746995,0.048051815673985046,0.8021912765487788,0.021326022916236337,0.0,0.15863338812872066,0.9956377933390421,0.9788704414255631,1.0000000000000002,0.9905179538984297,0.9787311411122714,0.8730358147508614,0.001953784303775832,0.9906019928673104,0.7293064281401115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9906019928673104,0.0,0.0,0.0,0.7018256471187878,0.7018256471187878,0.7018256471187878,0.0,0.9837576982647502,0.26707749297841005,0.09053167993260419,0.0026996311248166944,0.9733960822861054,0.18379869493794582,0.18379869493794582,0.18379869493794582,0.0,0.1634748000044013,0.1634748000044013,0.1634748000044013,0.0,0.0,0.10800970873786403,0.27878306862596935,0.27878306862596935,0.27878306862596935,0.6206787202042967,0.00050286124495529,0.5449655723844732,0.0,0.0,0.0,0.0,0.016843282460087268,0.9826603930601683,0.9892372455864766,0.016236978168447457,0.0,0.9969382101448102,0.9969382101448102,0.9969382101448102,0.0,0.0012225527711579864,0.0012225527711579864,0.0012225527711579864
2,1258,18,0.4308300431468631,0.5829384111575701,0.0019068381148186618,0.0,0.3344867869365393,0.10169056202639848,0.615384636463366,0.3279866231375741,0.5058132811317632,0.5221774477240322,0.3568627536296844,0.3294117748737335,0.3288758485622751,0.49745673896606163,0.48836196092041784,0.0019068381148186618,0.0,0.09901560323526368,0.6089451287217713,0.22405714139830285,0.14571712022569877,0.00545657697370435,0.175586956937255,0.42710445276553577,0.6629346881040846,0.006137786417277639,0.0433362446756264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006137786417277639,0.0,0.0,0.0,7.615524091493174e-05,7.615524091493174e-05,7.615524091493174e-05,0.0,0.15782977034055473,0.35074659666084035,0.5699107976304181,0.753194548175033,0.00015646734550877923,0.7952017428034169,0.7952017428034169,0.7952017428034169,0.0,5.480566211858524e-07,5.480566211858524e-07,5.480566211858524e-07,0.0,0.11334120425029512,0.07160194174757284,0.33457733211910606,0.33457733211910606,0.33457733211910606,0.7769824999099452,0.20673930715466385,1.3317349365241692e-06,0.0,0.0,0.0,0.0,0.9311103505852425,0.0011512986747276388,0.03662989745284284,0.5601830895935463,0.0,0.18082341123518295,0.18082341123518295,0.18082341123518295,0.0,0.42074403404790056,0.42074403404790056,0.42074403404790056
2,1258,20,0.4150197674019958,0.4407583240521963,0.0012113370144979866,0.0,0.14763558650972805,0.1289509080445179,0.495192335358168,0.16310269130796035,0.43210747382675024,0.45967742079125357,0.3529411852359772,0.2352941334247589,0.15788282253381297,0.416477020831923,0.5425453646239596,0.0012113370144979866,0.0,0.026592855604694172,0.7446539743387814,0.23107218257378526,0.15034357794373704,0.004469342149569903,0.20098688188022784,0.42980983747510754,0.8015814448633236,0.005295945387476466,0.032270281011276616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005295945387476466,0.0,0.0,0.0,2.806265680756007e-05,2.806265680756007e-05,2.806265680756007e-05,0.0,0.0883465123543124,0.445714984262506,0.7606712128287405,0.8720128456445665,5.041795614891499e-05,0.8965271747335749,0.8965271747335749,0.8965271747335749,0.0,2.6982187615732837e-07,2.6982187615732837e-07,2.6982187615732837e-07,0.0,0.38347107438016526,0.13833737864077672,0.47500540732786706,0.47500540732786706,0.47500540732786706,0.7255990993915095,0.3375964742511314,7.963907799682344e-07,0.0,0.0,0.0,0.0,0.8432937213925922,0.001221642511987332,0.08461544673683033,0.35735508732844934,0.0,0.0839357779100556,0.0839357779100556,0.0839357779100556,0.0,0.6112673122080476,0.6112673122080476,0.6112673122080476
2,1258,22,0.6561265025491362,0.8436019041840888,0.004213431639932892,0.0,0.249134933902415,0.17604455894872595,0.9182692352484654,0.2993378077882652,0.7593073570227736,0.7862903352689764,0.4901960790157318,0.4431372582912445,0.25841909443586963,0.7567933982502865,0.29925848459109095,0.004213431639932892,0.0,0.09949352065661617,0.3662196878280817,0.30924225636819963,0.1784385574748068,0.005571371720696727,0.1998687425775777,0.4605537238876776,0.6956538232444621,0.006489829029739947,0.03665989049522557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006489829029739947,0.0,0.0,0.0,9.518051619493907e-05,9.518051619493907e-05,9.518051619493907e-05,0.0,0.14023581716874328,0.41409522966390055,0.6375505793506768,0.7649727748459971,0.0002449106596101012,0.8394172554516344,0.8394172554516344,0.8394172554516344,0.0,5.624854683687053e-07,5.624854683687053e-07,5.624854683687053e-07,0.0,0.33405828621139627,0.12827098405185164,0.44549039016592007,0.44549039016592007,0.44549039016592007,0.7115414291238477,0.2666657447861747,1.75825242987337e-06,0.0,0.0,0.0,0.0,0.9812853622980039,0.001069503951354823,0.011085857948760047,0.8119939661852923,0.0,0.1867589623445944,0.1867589623445944,0.1867589623445944,0.0,0.5186910424305836,0.5186910424305836,0.5186910424305836
2,1258,24,0.5067193967601401,0.6492891184734112,0.0031552230933362445,0.0,0.26758937345074196,0.22291029460193013,0.7211538614359404,0.30376002233035104,0.5854357415152686,0.6250000222644303,0.2235294133424759,0.5490196198225021,0.2701497609173051,0.5786764836455185,0.28915186886928135,0.0031552230933362445,0.0,0.09811757461701485,0.48113699604254,0.3905528663745707,0.2425233070340001,0.0066657483086907275,0.2814655193325758,0.614450231077732,0.7648180550402496,0.0078673870785055,0.01827656399543305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078673870785055,0.0,0.0,0.0,4.076459587305022e-05,4.076459587305022e-05,4.076459587305022e-05,0.0,0.11736223477674762,0.5905063797637575,0.6887460103751595,0.8285548483477814,7.199374401075645e-05,0.8593194061931976,0.8593194061931976,0.8593194061931976,0.0,7.340551233425771e-07,7.340551233425771e-07,7.340551233425771e-07,0.0,0.37024793388429755,0.13298543689320388,0.46898467463242993,0.46898467463242993,0.46898467463242993,0.7496102299216867,0.23500531017386808,2.284849887105338e-06,0.0,0.0,0.0,0.0,0.8883538676212923,0.0015807471994164935,0.049262013902892476,0.42818961810357814,0.0,0.1176050249762193,0.1176050249762193,0.1176050249762193,0.0,0.5432089563105471,0.5432089563105471,0.5432089563105471
2,1258,24,0.3517786644225266,0.4502369965258879,0.0015610279487128487,0.0,0.2583622237996903,0.11702474798352139,0.5192307955792076,0.2685860221279684,0.4093133986464213,0.4516129051410262,0.2666666805744171,0.3411764800548553,0.26082529539749044,0.39681125338804596,0.44497286891948207,0.0015610279487128487,0.0,0.06989948916681302,0.6883702757239498,0.36727271300986464,0.22713758147431268,0.006283099152049469,0.30777723695018117,0.584649876576099,0.7723750311894749,0.007408201062250317,0.019983010717389657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007408201062250317,0.0,0.0,0.0,3.4232596219398187e-05,3.4232596219398187e-05,3.4232596219398187e-05,0.0,0.10723034503514078,0.5749176141502363,0.7036288085728684,0.8453004367612941,5.762589075274767e-05,0.86913048341294,0.86913048341294,0.86913048341294,0.0,4.844332405633498e-07,4.844332405633498e-07,4.844332405633498e-07,0.0,0.3679482572763205,0.10564905390276577,0.4364619216513368,0.4364619216513368,0.4364619216513368,0.7650889666408327,0.28577984483280494,1.5178392638627358e-06,0.0,0.0,0.0,0.0,0.860074904905955,0.00159592734919062,0.06578249551420365,0.38445898796435124,0.0,0.10344124979345284,0.10344124979345284,0.10344124979345284,0.0,0.5567983660895255,0.5567983660895255,0.5567983660895255
2,1258,24,0.5134387639517087,0.654028454710257,0.0035763740615195154,0.0,0.26758937345074196,0.18825305553039381,0.7788461659664354,0.2933488585866274,0.5878213768782099,0.6129032487890894,0.2823529541492462,0.5372548997402191,0.263672575573669,0.5808054215476754,0.3580281617575311,0.0035763740615195154,0.0,0.09323129747559997,0.9061063139932122,0.3547272744781178,0.23468997194663305,0.00786726666054428,0.3417481621354765,0.6099937349771567,0.6491410562439657,0.008892902514808747,0.02663816551629973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008892902514808747,0.0,0.0,0.0,0.00010262044076563664,0.00010262044076563664,0.00010262044076563664,0.0,0.15012678481426794,0.5320966703327293,0.5870001265820877,0.7526584599724603,0.00026453893925977524,0.8040434800633457,0.8040434800633457,0.8040434800633457,0.0,3.908706483590923e-07,3.908706483590923e-07,3.908706483590923e-07,0.0,0.6383585066970647,0.14470752571487933,0.4990858998794109,0.4990858998794109,0.4990858998794109,0.7543387385132272,0.30396305045006244,1.1996841600107144e-06,0.0,0.0,0.0,0.0,0.957728387334334,0.0015906671665453778,0.023673006739319574,0.660323179085067,0.0,0.1871821877238504,0.1871821877238504,0.1871821877238504,0.0,0.48777850044464893,0.48777850044464893,0.48777850044464893
2,1260,8,0.5415020033988481,0.6241706364181286,0.0011069990899052863,0.0,0.14994232133015717,0.1397338488958386,0.6682692489496532,0.1986166484500167,0.5654755751942049,0.5665322838002824,0.5058823823928833,0.2235293984413147,0.18134505281165628,0.5544391645857316,0.7012588041340507,0.0011069990899052863,0.0,0.03961673626822298,0.7901023383030306,0.13211264877954054,0.08064802272201478,0.0025025254844338327,0.11924145016564842,0.20858729086710082,0.7260377583169472,0.002831647100240307,0.07831732804035312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002831647100240307,0.0,0.0,0.0,4.063685023598091e-05,4.063685023598091e-05,4.063685023598091e-05,0.0,0.11639737666919908,0.19093155784354632,0.677460640044754,0.8258591159186511,7.101753935274315e-05,0.856196621279672,0.856196621279672,0.856196621279672,0.0,2.3214132362705849e-07,2.3214132362705849e-07,2.3214132362705849e-07,0.0,0.0,0.048543689320388356,0.16339060220868834,0.16339060220868834,0.16339060220868834,0.7611348298050435,0.2610872434890838,4.1263275439238457e-07,0.0,0.0,0.0,0.0,0.8711728370629545,0.0005360705067751474,0.04890944887826573,0.42818556670240826,0.0,0.11949204034906682,0.11949204034906682,0.11949204034906682,0.0,0.48271951607880875,0.48271951607880875,0.48271951607880875
