group_name,m_id,day_of_study,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
1,1258,14,1.8076518883263017,2.339577555050131,2595.269220521207,0.9440579566330294,0.30865909572160843,3.8947643791704536,2.462624210652881,0.17966346438401404,2.067536169455579,2.100163780328698,1.2429558469844428,1.219668363668438,0.12556895199509227,2.0797713097522714,-0.7711474975725551,103.8107688208483,0.5382722222222223,0.05074288886163236,2.885329903504073,1.0565596672537652,-0.46392300440720047,0.8713118199725765,0.05320608327546336,0.8849169008325489,0.05320608327546336,0.29865379804089887,0.050289368359861114,0.9733969583622684,0.9733969583622684,0.9893587833449072,0.9822646389081789,-0.6873094777623903,0.8521908419040554,0.05320608327546336,1.6373109817139349,0.48745168001611894,1.2403079521394693,0.8849169008325494,0.6107079400762032,3.2746219634278697,1.1871018688640065,0.23112947581201,92.66013607497969,0.5299667902276195,0.23501660488619022,2.864651972744922,17.318776648807738,51.32232990175753,8.817888335570292,0.5338370068137696,3.030511156143668,49.59210735148316,0.3101045978666896,0.29125,2.8523926716150783,0.23901523887452636,0.6827221317012038,0.128088515667857,12.333333333333334,0.5138888888888888,0.24305555555555558,2.75,812.3333333333334,2490.2083333333335,392.8645833333333,0.5625,3.75,0.15625,0.007997511102223678,0.02302369429401578,0.0042409653042756535,3.688721875540862,0.04,187.33333333333331,2.9371719141722052,185.40666666666667,0.3090111111111111,3.507766666666667,322.9633333333333,0.2308638888888889,2.915,47.99666666666667,141.49166666666667,24.622916666666665,0.52125,0.030066447782816835,0.08681165202191987,0.01588014672304107,8.285101700060716,0.0659555075138896,0.050539120370370366,0.011565639544753085,0.06653728860548934
1,1258,18,0.9897879715590063,1.7144690817099248,2434.381134018,0.4921791427968217,0.4588629908242461,2.8234409405315835,1.8780046633568124,0.26343276827097356,1.3473459779065837,1.4353370774183607,0.44174164743820643,1.4362630159186058,0.20056404212389864,1.381780929266541,-0.580510703884255,97.37524536072002,0.8081894655901576,0.09397735230365746,3.66507539139758,0.9951732819436454,-0.5537149728629487,0.3639567114558005,0.021545255651161877,0.8881976217133855,0.021545255651161877,0.14823202928650117,0.021027879841406222,0.9892273721744191,0.9892273721744191,0.9956909488697676,0.9928182481162794,-0.7311683310625392,0.7160254913836476,0.021545255651161877,1.8919493397410536,0.7862211366051125,0.6267908495571524,0.88819762171338,0.8811767119154728,3.7838986794821072,0.6052455939059908,0.09637549177674058,229.85373524833514,0.768254871264088,0.11587256436795601,3.598543220877729,41.55850200505736,157.99528501824523,12.449306251760403,0.35036419478056785,2.4423248016284695,101.03023789006329,0.39110089574507423,0.2343137254901961,15.026437399666811,0.1656470113694766,0.5770271467367966,0.06280197752764662,20.724137931034484,0.7146254458977408,0.1426872770511296,3.4827586206896552,3620.2413793103447,13958.862068965518,1035.5862068965516,0.3793103448275862,14.241379310344827,0.49108204518430437,0.0021155344691807,0.005059035601329884,0.0013796591861434042,2.15998941569932,0.022745098039215685,1687.2746730083236,2.148994577441659,483.1678431372549,0.37895517108804305,3.1717031910803533,1030.441568627451,0.09590526720492118,3.6776470588235295,53.9443137254902,200.33490196078432,17.346666666666668,0.3305882352941176,0.025042290990470263,0.09056051124153365,0.008662735927704415,3.7890622565061554,0.0786570516560908,0.01994261694220172,0.0018604368174131116,0.08086253369272238
1,1258,20,1.4192372369180517,2.12899833825046,5277.648508533091,0.8139493672212861,0.4027625806009907,2.1909259780933015,2.2870598717773856,0.220558477744658,1.783225465730999,1.7729963912358153,1.117373605705769,1.1696862660716165,0.16716364035238176,1.802160841201147,-0.14669739102120893,211.1059403413237,0.6233134201183432,0.06789063592728693,1.7202007804755874,1.2395666041750781,0.7081489738859781,0.7098217874999432,0.030211901154285858,0.918306133449486,0.030211901154285858,0.19422391055412502,0.029246875909885714,0.9848940494228571,0.9848940494228571,0.9939576197691429,0.9899293662819049,-0.7666741924448174,0.8410523679898048,0.030211901154285858,1.2451022436842436,0.6007362797629998,0.9907460837695639,0.9183061334494858,0.7397918057386136,2.490204487368487,0.9605341826152785,0.18500842216355728,251.9006322991107,0.5849197797638713,0.20754011011806434,1.8850135062813673,32.48529548931721,46.61117608733883,28.953825339811804,0.7787466234296581,2.7806190266611313,141.58820792150794,0.372736145663704,0.26384615384615384,13.64625103103337,0.2155062035429678,0.4441129826642364,0.15835450876265067,31.20689655172414,0.5380499405469679,0.23097502972651604,2.086206896551724,2070.5,2641.5862068965516,1927.728448275862,0.728448275862069,14.448275862068966,0.24910820451843044,0.0691171502865247,0.14363546206205907,0.0504875723426411,3.6446679241532376,0.03569230769230769,1285.5341854934602,2.6376554703149733,564.7895384615384,0.3475627928994083,3.5126532544378692,1012.8843076923077,0.1883432899408284,1.755076923076923,50.97415384615385,86.2116923076923,42.16476923076923,0.8112307692307692,0.02980204730895207,0.05614870380060857,0.023215383186037948,52.17290619765493,0.039128686423910965,0.03145439684418145,0.005868583741951146,0.03949967083607637
1,1258,22,1.2054310860881439,1.8970259334126875,5779.896385655734,0.3405123234253148,0.3804275334900069,2.7244600652225186,2.0783565042599417,0.21325612939047509,1.5902993761053263,1.6232677439878243,0.8564773168730989,1.2218791873868429,0.15224256859595162,1.6117401281671155,-0.5718998305526988,231.1958554262294,0.9022959727307158,0.06865413510316054,4.039236019570664,0.6348134217392714,-0.006468847551336969,0.17598750984511133,0.022976102732194238,0.768399355928318,0.022976102732194238,0.15623916678794647,0.022404688163414965,0.9885119486339029,0.9885119486339029,0.9977023897267806,0.9942559743169515,-0.5884600771012956,0.5684891043011423,0.022976102732194238,2.0002448058278084,0.8821811208030222,0.47262455666227277,0.7968833279408473,0.9387671010083758,4.000489611655617,0.44964845393007913,0.049740903144326394,422.6265638412113,0.8318637117780041,0.09004138810132707,4.085397399382569,72.65211768674436,292.5497220888125,18.40459256130365,0.2781225682426527,2.330856800954787,172.33656193582055,0.38927844575843457,0.2278651685393258,44.592717253568786,0.16126902868425075,0.6879719901751579,0.04939646697158269,27.837209302325583,0.6473769605191996,0.2087614926987561,4.116279069767442,17471.18604651163,69988.81395348837,4378.93669250646,0.3242894056847545,8.069767441860465,0.18766901027582478,0.027941443324519057,0.2246606921240197,0.005758305592424615,3.1445995403769715,0.019325842696629212,14793.725256895617,1.938220853469451,864.518202247191,0.388547506627951,3.104822926398182,2007.6085393258427,0.050786314859234946,4.048988764044944,54.61528089887641,220.0903370786517,14.25725343320849,0.2657178526841448,0.024802963486684728,0.10422019280038275,0.0067263792047544515,2.9988240940724737,0.044513888333159946,0.06271607625029656,0.0003602594769415393,0.09091275820746772
1,1258,24,1.2677963696627619,1.9241552711670522,5488.9467154697995,0.3778787629311763,0.2770349877047589,3.0569893511844457,2.1984391824198948,0.18867808872276973,1.560587563145544,1.5368777726194507,0.7861856372543783,1.4122535451655165,0.12812028876582404,1.5795492330912004,0.33371367569688476,219.557868618792,0.8813603305785124,0.05954223751445338,4.221505541045016,0.7873529668165103,0.26505769205279855,0.22376891329032178,0.012515126273793718,0.8934557143406814,0.012515126273793718,0.0965306561127171,0.012349997257764157,0.9937424368631033,0.9937424368631033,0.9987484873726207,0.9968712184315516,-0.7628488655269278,0.6554975422421717,0.012515126273793718,2.041736786041946,0.8726832958182976,0.4558919973157102,0.9144054121367297,0.9329264768489738,4.083473572083892,0.4433768710419171,0.05907100989102888,460.03258505857036,0.8386480958349055,0.0844780950258309,4.293373721888056,42.60175913727667,175.48095188570878,10.597153975610555,0.2537537632923387,2.1584309322247264,205.208562132689,0.4430766476845133,0.24829545454545454,21.720709938196343,0.17884517803569167,0.8116918847017176,0.046310081413905246,46.704918032786885,0.7656543939801129,0.12684762160709487,4.39344262295082,3925.5737704918033,16029.803278688525,975.2905282331511,0.2609289617486339,23.065573770491802,0.3781241601719968,0.02379867209541173,0.11756405200623529,0.005599910011072479,2.7033244268401466,0.02772727272727273,2624.848159097017,1.9899410783634375,833.4854545454546,0.37885702479338845,3.2952685950413225,1938.9927272727273,0.06090165289256198,4.233636363636363,52.486363636363635,221.03,13.037323232323232,0.25017676767676766,0.026500648062255206,0.11496901727020774,0.006661707251877555,1.7963483260198285,0.07464083339883253,0.04164377288124024,0.0002613695936639119,0.1545053357939501
1,1258,24,0.7978491910488932,1.739492067083272,3789.258246850208,0.8372677723151221,0.4939714365585306,2.4903936233105086,1.9488547168579493,0.27635773956258997,1.2290065882657835,1.2138930614965513,0.22858924027731323,1.720265476580636,0.19771054651921505,1.2766316983644526,-0.02945554069212574,151.57032987400834,0.608487825182102,0.11933129926820522,3.1570224318842888,1.2062425458666866,-0.6712213145846325,0.7639316610287328,0.03405701808924284,0.9147298775273954,0.03405701808924284,0.21306961222118828,0.032838270088820745,0.9829714909553786,0.9829714909553786,0.9931885963821515,0.988647660636919,-0.7559206956110704,0.8497806914753125,0.03405701808924284,1.7246836469763034,0.5681673903521915,1.0562390662479444,0.9147298775273953,0.707655137931682,3.4493672939526068,1.0221820481587018,0.19949716977949386,355.2582154592591,0.6116522102240892,0.1941738948879554,3.2067745110394927,37.39993017043196,111.59481278161577,18.851209517636,0.4483063722401269,2.7960599474295766,191.68799229833428,0.3749501915672101,0.25053763440860216,15.571424808197627,0.1891497916761436,0.5859812283218709,0.08994193251471172,36.53333333333333,0.6088888888888889,0.19555555555555554,3.2,3143.7166666666667,9144.116666666667,1643.6166666666666,0.45,14.433333333333334,0.24055555555555555,0.008662287439588927,0.017767791453968677,0.006385911435993988,3.5073788001869217,0.025806451612903226,1642.1541666666667,2.6158369896629776,833.0696774193549,0.3583095386749913,3.2748202104289517,1414.734193548387,0.195756087408949,3.198709677419355,52.214623655913975,166.83913978494624,23.558494623655914,0.4503225806451613,0.026428098814197123,0.08376057550857859,0.01209497964060176,15.203112665949046,0.02743616960391022,0.03135332177130304,0.006128779295760463,0.027475672581568408
1,1258,24,0.6406996644499028,1.6929433113560797,3327.077267481357,1.0442750934227645,0.6596037967823183,2.1330799428939833,2.2178264175278164,0.3431160344568544,1.1474484972579122,1.0787368587228863,0.21290446708667057,2.0049219504411457,0.2648247609956018,1.2160185063433417,0.14006802950344457,133.0830906992543,0.5036922469135803,0.1620629539100513,2.74709973558684,1.4497922708837188,-0.16606422474977725,0.9960275448315599,0.04541811848955357,0.9128160916363286,0.04541811848955357,0.26517498847639054,0.04327071588077056,0.9772909407552233,0.9772909407552233,0.9954581881510447,0.9886454703776115,-0.7409084670961457,0.8875776044609869,0.04541811848955357,1.584121637958461,0.4607622428014378,1.3204864250572819,0.9195406970588623,0.54396869775745,3.168243275916922,1.275068306567729,0.2603614158302784,317.4883031502627,0.5015999298149716,0.26727752206173333,2.8668193182399095,20.696736452400707,52.27942824843791,12.902241393822177,0.5499639122765045,3.05349971516468,198.70400029162107,0.35392325637176536,0.2812222222222222,4.87046089727629,0.22821379950745954,0.661998641344669,0.12826488042979733,39.24691358024691,0.4845297972869989,0.300259106843469,3.037037037037037,1180.716049382716,2771.9753086419755,785.8230452674898,0.5318930041152263,21.469135802469136,0.26505105928974243,0.020233649352973945,0.13856307344479904,0.005296040117621598,3.7013399573642487,0.036,409.1111111111111,2.9384608886123598,748.6604444444445,0.33273797530864196,3.4753888395061727,1133.3075555555556,0.25874883950617283,2.7875555555555556,49.04088888888889,134.4711111111111,27.971234567901234,0.5624938271604938,0.0298349535287366,0.08702887398169144,0.016536145332733003,9.944607114546178,0.022419072752132983,0.15615451947936862,0.003672636305928975,0.0684700356614769
1,1258,7,2.0530084205645696,2.3576269086091686,241.83857299648918,-3.203426503814917e-16,0.17158468671202565,2.4313355265247996,2.447640219444993,0.09844171450209274,2.1960157678021126,2.183121898064389,2.000799947560639,0.44684027188435405,0.07211557718468262,2.199266118488116,0.5366824904336894,9.67354291985957,1.0,0.014286207494280468,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.203426503814917e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.203426503814917e-16,1,1.0,2.0,-3.203426503814917e-16,0.0,14.0,1.0,0.0,1.0,17.22222222222222,17.22222222222222,17.22222222222222,1.0,1.1405180562767105,6.888888888888889,0.6049382716049383,0.28,0.8641975308641975,0.18040123456790125,0.18040123456790125,0.18040123456790125,2.0,1.0,0.0,1.0,625.0,625.0,625.0,1.0,2.0,1.0,0.0016,0.0016,0.0016,-3.203426503814917e-16,0.04,0.0,1.4619011889093363,19.28,0.3856,3.3023999999999996,50.0,0.0,1.0,49.0,49.0,49.0,1.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,1000000.0,0.0,0.0,0.0
1,1258,7,2.056680164252459,2.57355637803543,275.96945633982233,0.14144054254182004,0.4404492888753615,1.1918646882064903,2.637838835476995,0.21882022066599505,2.3386097768600296,2.3735014391995994,1.9973859958671423,0.6404528396098528,0.20237165111708882,2.349338018846255,-0.09171566173542856,11.038778253592895,0.9607999999999999,0.05029343837112755,3.9593749999999996,0.0181772876739502,-0.018673461914062505,0.019755859375000004,0.0203125,0.23970263210769557,0.0203125,0.13448604682651322,0.019755859374999997,0.9898437499999999,0.9898437499999999,0.9959375,0.9932291666666667,-0.0019477897278426456,0.01736915233057773,0.0203125,1.98984375,0.9602099609375001,0.15479854682651298,0.010297367892301793,0.9796875,3.9796875,0.13448604682651322,0.01001708984375,12.895002658160552,0.8661900560771542,0.0669049719614229,3.7824960127591707,15.492690058479532,61.75325624667731,3.9275485114300905,0.3043759968102073,1.641692321162827,5.809276980329613,0.4529235667907707,0.295,1.501797261345654,0.23429318772520524,0.7196687636599918,0.11294929374150865,1.6666666666666667,0.5555555555555556,0.2222222222222222,3.0,400.6666666666667,1601.6666666666667,100.41666666666667,0.5,1.0,0.3333333333333333,0.3344453703703704,0.33778148148148146,0.33361134259259256,1.5849625007211552,0.06,122.88888888888889,1.8589392224611319,16.56,0.3312,3.830400000000001,48.04,0.0196,3.94,47.92,191.62,11.995,0.265,0.04708225308641976,0.12832901234567903,0.026770563271604937,0.1377577319587629,1.8709073900841908,0.02138,0.0005977999999999999,1.3114754098360657
1,1260,10,1.7717025261977235,2.0212784497771565,3867.2355097891837,0.6162051976293486,0.1489741949672272,2.4724249053174137,2.0856984450269693,0.08159170457105876,1.894172810893903,1.891844501421738,1.6045488261078154,0.481149618919154,0.061066365806683266,1.8966887939773462,-0.2687284018453802,154.68942039156738,0.7414316928069227,0.009537743669531031,1.4551150620979945,1.1294150661420197,0.6473606893708959,0.49338601750631444,0.03953203298563304,0.8518856826227259,0.03953203298563304,0.23904905154417594,0.03791205553085719,0.9802339835071834,0.9802339835071834,0.9920935934028734,0.9868226556714557,-0.6511157027192452,0.7475036388085555,0.03953203298563304,1.1582936928636038,0.695628919223169,0.8502332488949758,0.8518856826227241,0.82194029064358,2.3165873857272072,0.8107012159093432,0.13322951262298688,192.50090064427226,0.7071029146219356,0.14644854268903212,1.534863764185378,35.17979109998011,47.273631513841636,32.156330996514725,0.8662840589536556,2.66594350685574,85.69073825026854,0.3454956909222969,0.2525581395348837,13.241533536567227,0.20351671773122618,0.3634918486686427,0.16352293499687207,20.161290322580644,0.6503642039542143,0.1748178980228928,1.6774193548387097,2403.2580645161293,3087.6451612903224,2232.1612903225805,0.8306451612903226,7.903225806451613,0.25494276795005205,0.019915705734853514,0.05257032947097663,0.01175204980082273,3.2347457004253704,0.02883720930232558,1200.7346514047865,2.432990000099929,374.0623255813953,0.34796495402920496,3.433999783666847,797.0390697674419,0.1292841535965387,1.457674418604651,52.14790697674419,74.27813953488372,46.615348837209304,0.8855813953488372,0.02774379390860565,0.04380017387661352,0.02372969891660368,19.2906089193825,0.04779296532009062,0.03892759329367224,0.0049999894751405535,0.04810583283223091
