Number of voxels: 100
Number of points per voxel: 692
Voxel Index:
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
19 11
20 11
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
11 13
12 13
13 13
14 13
15 13
16 13
17 13
18 13
19 13
20 13
11 14
12 14
13 14
14 14
15 14
16 14
17 14
18 14
19 14
20 14
11 15
12 15
13 15
14 15
15 15
16 15
17 15
18 15
19 15
20 15
11 16
12 16
13 16
14 16
15 16
16 16
17 16
18 16
19 16
20 16
11 17
12 17
13 17
14 17
15 17
16 17
17 17
18 17
19 17
20 17
11 18
12 18
13 18
14 18
15 18
16 18
17 18
18 18
19 18
20 18
11 19
12 19
13 19
14 19
15 19
16 19
17 19
18 19
19 19
20 19
11 20
12 20
13 20
14 20
15 20
16 20
17 20
18 20
19 20
20 20
Is labelled: Yes
2.61E-02	0.020923	1.28E-02	0.0024667	-3.30E-03	0.002115	0.0033651	0.011323	0.013017	0.015193	7.82E-03	1.01E-02	0.0089765	0.013691	0.0097827	9.54E-03	0.01002	1.48E-02	0.019678	0.00087635	1.28E-02	0.02681	3.02E-02	8.17E-03	0.0075548	6.82E-04	-0.0026372	1.22E-02	0.016698	0.015779	0.010662	-0.00079659	1.50E-03	0.0043134	0.026977	0.037074	0.011939	0.0026451	0.0081208	0.023749	0.02977	0.025554	0.041382	0.026469	0.018227	0.0074185	0.018043	0.030966	0.026716	4.51E-02	0.043216	0.020202	0.023146	0.014842	1.34E-02	0.013721	0.014365	0.0084535	0.01607	0.020566	0.012923	0.017864	0.0093166	0.018478	0.019911	1.40E-02	0.029631	0.032124	0.037697	0.047265	0.04731	0.037582	0.032353	0.034876	0.028627	0.039689	0.035136	0.035922	0.03314	0.031257	0.028509	0.041711	0.044318	0.046074	0.037273	4.34E-02	0.044562	0.060358	0.059877	0.054831	0.070052	0.067616	0.056705	0.028368	2.01E-02	0.027052	0.029163	0.037275	0.039876	0.031245	0.032686	0.038331	0.037113	0.042748	2.76E-02	0.042774	0.045216	0.040514	0.030292	0.024598	0.042141	0.045681	0.048449	0.03801	0.031044	0.054146	0.057668	0.052493	0.034762	0.035954	0.044987	0.043313	0.029559	0.022216	0.016648	3.23E-02	0.023559	0.032025	0.026633	0.028983	0.041393	0.030458	0.012361	0.013618	0.016827	0.046106	0.04568	0.034257	0.01829	0.022331	0.040648	0.04327	0.041079	0.037124	0.052272	0.021695	0.029875	0.030722	0.042485	0.029028	0.02038	0.02848	0.037293	0.040557	0.024539	0.0267	0.028612	0.019009	0.02059	0.021245	0.031361	0.041321	0.032923	0.035058	0.032276	0.041813	0.046162	0.04282	0.0423	0.049128	0.05932	0.039643	0.030088	0.026021	0.03304	0.022907	0.033962	0.030234	0.019845	0.017983	0.010356	0.030622	0.027792	0.039387	0.043257	0.036794	0.027639	0.037777	0.04839	0.072143	0.075984	0.080874	0.083869	0.086236	0.079546	0.076012	0.075965	0.0861	0.09761	0.082805	0.069141	0.042618	0.034016	0.022885	0.016837	0.017376	0.0070345	0.0070298	0.0016178	0.010118	0.023753	0.019778	0.022387	0.01874	0.027539	0.028349	0.035433	0.032287	0.035989	0.043694	0.048713	0.046796	0.039996	0.050142	0.071194	0.086044	0.1019	0.10322	0.09534	0.07382	0.074447	0.064854	0.06659	0.051596	0.029513	0.012824	0.021894	0.03276	0.03079	0.035513	0.026417	0.025266	0.022979	0.032064	2.53E-02	0.011641	-0.0017786	-0.00079522	0.00072876	0.0049614	0.014645	-0.00042984	6.53E-05	0.012648	0.003462	0.013393	0.0081932	0.0078331	-8.42E-03	-0.016328	-1.93E-03	-0.00048193	0.015628	0.007664	8.73E-03	0.0025273	-0.0032617	0.01062	0.016632	0.015637	0.01509	0.020908	0.016219	0.005704	0.020292	0.034011	0.028791	0.031203	0.034322	0.019021	0.026137	0.012675	0.0074003	0.021259	0.0094566	0.016267	0.019334	0.024601	0.031671	0.032994	0.022676	0.012917	0.017042	0.027108	0.020987	0.019591	0.027073	0.027698	0.026035	0.036173	0.033699	0.029607	0.029283	0.035813	0.025803	0.013505	0.019919	0.033054	0.040043	0.026479	0.03123	0.031992	0.030164	0.026519	0.051708	0.053112	0.052292	0.059152	0.041248	0.03955	0.036645	0.03606	0.038782	0.047022	0.051562	0.049895	0.04377	0.03597	0.038469	0.06127	0.061652	0.055596	0.061801	0.055784	0.061228	0.056964	0.060949	0.064394	0.044094	0.045557	0.051286	0.056724	0.049219	0.056487	0.056429	0.047122	0.055343	0.060075	0.055283	0.042724	0.040628	0.047478	0.049886	0.056586	0.052316	0.043121	0.049054	0.044809	0.054771	0.057785	0.067969	0.057085	0.054571	0.05326	0.053779	0.058426	0.070412	0.075487	0.085591	0.083818	0.079072	0.082676	0.075677	0.066023	0.079864	0.07812	0.096649	0.08795	0.080586	0.079914	0.084574	0.09532	0.11799	0.11409	0.10283	0.07759	0.069684	0.072171	0.067266	0.056816	0.045233	0.040625	0.034907	0.032732	0.032957	0.025788	0.032598	0.033768	0.035111	0.038981	0.049666	0.037645	0.039917	0.038519	0.020719	0.0282	0.027068	0.020091	0.017915	0.023512	0.025155	0.026232	0.01925	0.0088802	0.013828	0.023063	0.015376	0.020581	0.016717	0.018422	0.032176	0.023679	0.021004	0.019148	0.013453	0.014503	0.017933	0.0272	0.031382	0.037368	0.041546	0.041508	0.042513	0.037705	0.040897	0.041261	0.035614	0.025248	0.016943	0.017104	0.026391	0.024939	0.02477	0.017901	0.024686	0.017499	0.028861	0.017474	0.0057374	0.016821	0.022288	0.028226	0.023645	0.018345	0.0053691	0.0023505	0.016288	0.023176	0.01966	0.012239	0.0066265	0.028309	3.31E-03	0.016481	0.01697	0.029306	0.024048	0.0049271	0.0012132	0.0051494	0.024356	0.016192	0.014289	0.035385	0.026389	0.040005	0.038771	0.035389	0.034918	0.045312	0.050478	0.066684	0.059699	0.053326	0.051643	0.080917	0.084318	0.098504	0.087962	0.091048	0.09002	0.09146	0.088474	0.074673	0.057161	0.047359	0.046292	0.042602	0.049224	0.052414	0.052013	0.054138	0.051939	0.045666	0.030596	0.025719	0.029989	0.034454	0.041877	0.032449	0.043083	0.034851	0.036482	0.014427	0.028371	0.026104	0.029041	0.033369	0.020492	0.017031	0.03391	0.013566	0.022309	0.024259	0.020211	0.021619	0.010464	0.018168	0.024709	0.025977	2.02E-02	0.020587	0.0019524	0.020585	0.033225	0.024152	0.024791	0.020193	0.028358	0.031899	0.044398	0.037795	0.040081	0.037167	0.055862	0.061656	0.063358	0.047672	0.054882	0.060202	0.05341	0.051557	0.055287	0.067733	0.056327	0.059367	0.048305	0.056445	4.41E-02	0.047561	0.0481	0.063203	0.060158	0.054337	0.035173	0.026861	0.033411	0.031491	0.029695	0.029744	0.025205	0.01133	0.0033608	0.0079445	-0.00074109	-0.0088146	-0.0050538	0.0066828	0.015766	0.020575	1.45E-02	0.018716	0.013131	0.0083074	0.010507	0.018952	0.0062793	-0.004543	0.0067949	0.0074255	0.012158	0.0023192	0.011811	0.0072139	0.0033121	5.91E-03	-0.0061416	-0.0043355	-0.010909	-9.46E-03	0.006056	0.0027618	-0.015137	-0.010339	-0.0083801	-0.018518	-0.0062727	-0.014248	0.0018715	0.011015	-6.36E-04	-0.01043	-0.0038808	-7.47E-03	-0.010297	1.93E-03	0.0086573	0.016555	-0.0054893	8.03E-04	1.37E-02	0.014075	1.10E-02	1.00E-02	0.012312	0.0019275	0.0061697	0.0026773	1.54E-02	9.12E-04	4.11E-04	0.0033997	0.00053936	0.0020801	0.0045823	2.23E-03	4.18E-03	-0.015861	-1.98E-02	-0.0023163	0.0013361	7.35E-03	3.10E-04	-0.003169	6.63E-05	-0.0029393	1.98E-03	-0.001301	0.011244	9.92E-03	-0.0030781	-1.79E-02	-2.24E-02	-0.0089203	-0.012014	-1.52E-02	-0.0095732	1.93E-03	-0.0018244	-4.14E-04	0.00091902	6.21E-03	-2.66E-03	-9.77E-03	0.0022928	7.70E-03	-6.57E-03	2.59E-03	-0.0030726	-0.0010805	7.66E-03	1.32E-02	0.0095226	0.0080571	0.013735	0.00059509	-0.006025	-0.014943	-1.89E-02	-0.018833	-0.019491	-0.0065158	-2.01E-03	-0.0049763	0.00070503	0.0015842	0.00866	0.006131	0.007562	0.00049357	-0.015602	-0.010975	x
