m_id_1264,day_of_study,true_label,predicted_label
1264,11,0,0
1264,15,0,0
1264,15,0,0
1264,15,0,0
1264,17,0,0
1264,17,0,0
1264,17,0,0
1264,17,0,0
1264,19,0,0
1264,19,0,0
1264,19,0,0
1264,21,0,0
1264,21,0,0
1264,21,0,0
1264,23,0,0
1264,23,0,0
1264,23,0,0
1264,25,0,0
1264,25,0,0
1264,25,0,0
1264,27,0,0
1264,27,0,0
1264,29,0,0
1264,29,0,0
1264,29,0,0
1264,31,0,0
1264,31,0,0
1264,31,0,0
1264,33,0,0
1264,33,0,0
1264,33,0,0
1264,35,0,0
1264,35,0,0
1264,37,0,0
1264,37,0,0
1264,37,0,0
1264,39,0,0
1264,39,0,0
1264,39,0,0
