mouse_id,y_true,n_exams,day_range,prob_uniform,pred_uniform,prob_linear,pred_linear,prob_quad,pred_quad
1263,0,56,11–47,0.4194660463503429,0,0.3882058552731559,0,0.3627954707609229,0
1264,0,43,11–39,0.36656095468720723,0,0.3553584505240699,0,0.34658238933214264,0
1270,0,43,10–37,0.29772941213707593,0,0.2929476376690648,0,0.28860073771347583,0
1276,1,21,11–45,0.5310156998180208,1,0.5586950965812869,1,0.5784125655468785,1
1281,1,12,10–27,0.6366268371542295,1,0.6504106658034854,1,0.6615342605268905,1
1284,1,8,10–27,0.6581171303987503,1,0.679322008839969,1,0.6980180619386062,1
1285,1,17,9–31,0.41529156618258534,0,0.41764621280605807,0,0.4240016158980141,0
1380,0,47,11–41,0.3068703806146662,0,0.2931309501500315,0,0.2847981660074885,0
1382,1,8,11–29,0.4135090857744217,0,0.4154976575180542,0,0.4240737311178591,0
1383,0,43,11–49,0.3999544607345448,0,0.35752496340115764,0,0.32469154435911896,0
