feature,Fold_0_importance,Fold_1_importance,Fold_2_importance,Fold_3_importance,Fold_4_importance,Fold_5_importance,Fold_6_importance,Fold_7_importance,Fold_8_importance,Fold_9_importance,Fold_10_importance,Fold_11_importance,Fold_12_importance,Fold_13_importance,Fold_14_importance,mean_importance,std_importance,variance,cv
delta_2_original_firstorder_90Percentile,0.0,0.0,0.0,0.0,0.0,0.0,0.018100616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007356363,0.0012557501533333331,0.004663841408962782,2.175141668795595e-05,3.7139883252913184
delta_2_original_firstorder_Maximum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_original_gldm_DependenceNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002526783,0.0,0.001403508,0.0,0.0,0.0002620194,0.0007233184709333779,5.231896103933999e-07,2.760553115278403
delta_2_original_glrlm_LongRunHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_original_glrlm_RunEntropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_original_glszm_SizeZoneNonUniformity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_original_ngtdm_Busyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_original_ngtdm_Coarseness,0.0,0.0,2.7805794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8537196e-06,7.179425139338274e-06,5.154414533136239e-11,3.872983346207416
delta_2_original_shape2D_Elongation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00090660225,0.0,0.0,0.0,6.044015e-05,0.00023408369439227824,5.479517598033752e-08,3.8729833462074175
delta_2_original_shape2D_MajorAxisLength,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006216042,0.0021704494,0.00018613690666666668,0.000571810293158396,3.2696701136189073e-07,3.071987728808623
delta_2_square_gldm_DependenceNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017128426,0.0,0.0007181169,0.00094397017,0.0,0.0,0.0,0.00022499531133333332,0.0005057708391625348,2.558041417471747e-07,2.2479172395429567
delta_2_square_glrlm_ShortRunHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.00949632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006330880000000001,0.002451939280683761,6.01200623616e-06,3.8729833462074166
delta_2_square_glszm_GrayLevelNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010195565,0.0,0.0,0.0,6.797043333333333e-05,0.00026324835633450145,6.929969711281665e-08,3.8729833462074166
delta_2_square_glszm_HighGrayLevelZoneEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delta_2_square_glszm_LargeAreaHighGrayLevelEmphasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020363547,0.0,0.0,0.0049175504,0.0011596271,0.0,0.0005409021466666666,0.0013439055671484812,1.806082173412681e-06,2.484563197669595
delta_2_squareroot_firstorder_Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029045,0.0,0.0,0.0019363333333333335,0.007499386752706295,5.624080166666667e-05,3.8729833462074166
delta_2_squareroot_firstorder_Mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009278762,0.0,0.0006185841333333333,0.002395766046628148,5.739694950176266e-06,3.8729833462074166
delta_2_squareroot_glcm_Autocorrelation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
