mouse_id,y_true,n_exams,day_range,prob_uniform,pred_uniform,prob_linear,pred_linear,prob_quad,pred_quad
1263,0,56,11–47,0.40378190237762673,0,0.3835524738280466,0,0.3564225059111713,0
1264,0,43,11–39,0.4124228079305139,0,0.4229734458319728,0,0.4316037817326388,0
1270,0,43,10–37,0.2820162634516871,0,0.26176719165661116,0,0.2505712452479337,0
1276,1,21,11–45,0.9044060664517539,1,0.937372539538218,1,0.9614989987967812,1
1281,1,12,10–27,0.9784237096707026,1,0.9808713923560249,1,0.9831951717451071,1
1284,1,8,10–27,0.9427512437105179,1,0.961461405918516,1,0.975657377409088,1
1285,1,17,9–31,0.6316926304031821,1,0.6555118426146914,1,0.6819812144120093,1
1380,0,47,11–41,0.14744831130225608,0,0.1390739447102728,0,0.13220064066896964,0
1382,1,8,11–29,0.4141304949298501,0,0.4638585878406153,0,0.5070659625627918,1
1383,0,43,11–49,0.4811763913305693,0,0.4016213281710703,0,0.33926558324741085,0
