metric,point_estimate,ci_lower_2_5,ci_upper_97_5,n_bootstrap_valid
AUC,0.873171368861024,0.8185655708667056,0.9212393618772104,10000
Sensitivity,0.8181818181818182,0.7192982456140351,0.9074074074074074,10000
Specificity,0.7543103448275862,0.698744769874477,0.8081675170068027,10000
PPV,0.4864864864864865,0.39343561720610903,0.5779816513761468,10000
Accuracy,0.7684563758389261,0.7214765100671141,0.8154362416107382,10000
