mouse_id,y_true,n_exams,day_range,prob_uniform,pred_uniform,prob_linear,pred_linear,prob_quad,pred_quad
1263,0,56,11–47,0.41931264980563093,0,0.3878701475066783,0,0.3624139368285291,0
1264,0,43,11–39,0.36744449755480124,0,0.35711789056861387,0,0.3489394498222351,0
1270,0,43,10–37,0.29546006093191546,0,0.29026383582841264,0,0.2857465733350656,0
1276,1,21,11–45,0.5342537782021931,1,0.560460662387716,1,0.5786679369943226,1
1281,1,12,10–27,0.6377510478099188,1,0.6517085067431132,1,0.6627116303606309,1
1284,1,8,10–27,0.6572503335773945,1,0.6777642256227033,1,0.696125078853318,1
1285,1,17,9–31,0.4165865147815031,0,0.41890291487875064,0,0.42517153740418645,0
1380,0,47,11–41,0.3056327050670664,0,0.2919285150269816,0,0.2836921531783745,0
1382,1,8,11–29,0.4147876277565956,0,0.4175908828890601,0,0.42697194317068027,0
1383,0,43,11–49,0.3998863121797872,0,0.3575847757421038,0,0.32480610105851815,0
