metric,point_estimate,ci_lower_2_5,ci_upper_97_5,n_bootstrap_valid
AUC,0.7729885057471264,0.7072752216557118,0.8349713704731994,10000
Sensitivity,0.5454545454545454,0.42105263157894735,0.6666666666666666,10000
Specificity,0.8103448275862069,0.759493670886076,0.8589743589743589,10000
PPV,0.45,0.34177215189873417,0.5606152993348114,10000
Accuracy,0.7516778523489933,0.7013422818791947,0.7986577181208053,10000
