window,n_exams,day_threshold,AUC,Sensitivity,Specificity
early,101,<=21,0.5759438103599648,0.4411764705882353,0.7313432835820896
mid,100,<=31,0.8026666666666666,0.56,0.76
late,97,>31,0.9619047619047619,1.0,0.9
