metric,point_estimate,ci_lower_2_5,ci_upper_97_5,n_bootstrap_valid
AUC,0.7695924764890282,0.7033185093982157,0.8322188069272582,10000
Sensitivity,0.5454545454545454,0.42105263157894735,0.6666666666666666,10000
Specificity,0.8060344827586207,0.7552742616033755,0.8558568393721232,10000
PPV,0.4444444444444444,0.3375,0.5540581243894497,10000
Accuracy,0.7483221476510067,0.697986577181208,0.7986577181208053,10000
