m_id_1380,day_of_study,true_label,predicted_label
1380,18,0,0
1380,19,0,0
1380,19,0,0
1380,19,0,0
1380,21,0,0
1380,21,0,0
1380,21,0,0
1380,22,0,0
1380,23,0,0
1380,23,0,0
1380,23,0,0
1380,25,0,0
1380,25,0,0
1380,25,0,0
1380,27,0,0
1380,27,0,0
1380,27,0,0
1380,29,0,0
1380,29,0,0
1380,29,0,0
1380,31,0,0
1380,31,0,0
1380,31,0,0
1380,33,0,0
1380,33,0,0
1380,33,0,0
1380,35,0,0
1380,35,0,0
1380,35,0,0
1380,35,0,0
1380,37,0,0
1380,37,0,0
1380,37,0,0
1380,37,0,0
1380,39,0,0
1380,39,0,0
1380,39,0,0
1380,39,0,0
1380,41,0,0
1380,41,0,0
1380,41,0,0
1380,41,0,0
