mouse_id,y_true,y_pred_vote,y_proba_mean
1263,0,0,0.40378190237762673
1264,0,0,0.4124228079305139
1270,0,0,0.2820162634516871
1276,1,1,0.9044060664517539
1281,1,1,0.9784237096707026
1284,1,1,0.9427512437105179
1285,1,1,0.6316926304031821
1380,0,0,0.14744831130225608
1382,1,0,0.4141304949298501
1383,0,0,0.4811763913305693
