window,n_exams,day_threshold,AUC,Sensitivity,Specificity
early,101,<=21,0.7892888498683055,0.7058823529411765,0.7313432835820896
mid,100,<=31,0.9072,0.92,0.68
late,97,>31,1.0,1.0,0.8444444444444444
