metric,point_estimate,ci_lower_2_5,ci_upper_97_5,n_bootstrap_valid
AUC,0.875,0.8211831407155781,0.9223911952662261,10000
Sensitivity,0.8181818181818182,0.7192982456140351,0.9074074074074074,10000
Specificity,0.7629310344827587,0.7074181714465557,0.8170212765957446,10000
PPV,0.4954128440366973,0.4017094017094017,0.5887850467289719,10000
Accuracy,0.7751677852348994,0.7281879194630873,0.8221476510067114,10000
