Number of voxels: 100
Number of points per voxel: 692
Voxel Index:
11 11
12 11
13 11
14 11
15 11
16 11
17 11
18 11
19 11
20 11
11 12
12 12
13 12
14 12
15 12
16 12
17 12
18 12
19 12
20 12
11 13
12 13
13 13
14 13
15 13
16 13
17 13
18 13
19 13
20 13
11 14
12 14
13 14
14 14
15 14
16 14
17 14
18 14
19 14
20 14
11 15
12 15
13 15
14 15
15 15
16 15
17 15
18 15
19 15
20 15
11 16
12 16
13 16
14 16
15 16
16 16
17 16
18 16
19 16
20 16
11 17
12 17
13 17
14 17
15 17
16 17
17 17
18 17
19 17
20 17
11 18
12 18
13 18
14 18
15 18
16 18
17 18
18 18
19 18
20 18
11 19
12 19
13 19
14 19
15 19
16 19
17 19
18 19
19 19
20 19
11 20
12 20
13 20
14 20
15 20
16 20
17 20
18 20
19 20
20 20
Is labelled: No
0.012146 -0.010883 -0.0045932 0.010345 0.012187 -0.0040912 0.024124 -0.01482 -0.00079032 0.0038819 0.013285 -0.0033156 -0.02204 -0.021513 0.025315 0.013711 -0.010527 0.019641 0.0044226 -0.0051949 0.011653 0.032334 -0.011934 0.025082 0.034887 0.026962 0.0056757 -0.011243 0.0078336 -0.007693 0.029794 -0.0081505 0.015358 0.015912 0.0055448 -0.01295 -0.010024 0.00061776 0.008043 0.0026211 0.031344 -0.029982 0.018751 0.0053338 -0.0015251 0.027933 -0.0024367 -0.0014922 0.0046499 0.013324 0.013882 -0.03026 0.011157 0.039274 0.028417 0.036782 0.011797 -0.01261 -0.026473 -0.0041397 -0.0015635 0.0021679 0.0073265 0.021235 -0.001882 0.015836 0.0060755 0.029659 0.021046 0.017107 0.0094669 0.021361 0.016705 0.0050288 0.015904 -0.032662 0.0031523 0.0097507 0.010148 0.015961 -0.022024 0.016087 0.00057863 0.0057083 0.0064826 0.043004 0.046561 0.033003 0.049982 0.054211 0.022445 0.029609 0.067961 0.042247 0.023549 0.021513 0.021801 0.042029 0.019307 0.03258 -0.0013799 -0.017158 -0.0024072 0.035866 0.0032906 -0.014769 0.032374 0.012463 0.028871 0.047627 0.0026117 0.04246 0.027274 0.041564 0.015143 0.017884 0.064742 0.052506 0.012092 0.0043498 -0.0065331 0.017775 0.016114 0.012683 0.0084444 0.055112 -0.014862 0.044619 0.016151 0.031018 0.013184 0.01054 0.024101 -0.0027349 0.043387 0.041605 0.0004213 0.013605 0.060368 0.012512 0.011031 0.0075703 0.05027 0.01144 0.016005 0.010774 0.051859 0.035902 0.052079 0.015501 0.020847 0.049616 -0.0015234 0.035457 0.032733 0.022982 0.016164 0.053872 -0.0051625 0.024885 0.015916 0.0052983 0.03494 0.026009 0.040789 0.047709 0.015771 0.068189 0.054697 0.037336 0.037163 0.067736 0.027261 0.03192 -0.0015474 0.054978 0.033495 -0.0098037 -0.01167 0.015641 0.0090579 0.012279 0.0050065 0.016311 -0.00241 0.0020896 0.0050548 0.028661 0.015161 0.039168 0.031595 0.091477 0.074519 0.054083 0.043006 0.074024 0.091976 0.083784 0.10057 0.11113 0.10501 0.082649 0.056577 0.056639 0.022062 0.023498 0.024356 0.030439 0.030239 0.03263 -0.014044 0.010779 -0.0013255 0.0043394 0.012898 0.018685 0.045736 0.016738 -0.014472 0.0052462 0.0086523 0.010207 -0.022171 0.039515 0.063131 0.096365 0.097443 0.068291 0.10592 0.072479 0.047833 0.078589 0.063397 0.070864 0.0085873 0.075797 0.05643 0.045845 0.063345 0.059515 0.0074335 0.05139 0.02129 0.034786 0.034573 0.0072937 0.015935 0.017864 0.022007 -0.031718 0.0047184 0.0031447 0.010386 0.033077 0.0059821 0.013175 -0.00035579 0.010437 -0.013417 0.016196 -0.00018666 0.015146 0.045076 0.0063848 -0.004526 0.010113 0.019813 -0.0099456 0.0073416 0.015014 0.013262 0.02267 0.0084327 0.04042 0.023363 -0.010196 -0.0050304 0.036194 0.0045652 0.025943 -0.018002 -0.012155 -0.0051617 0.050941 0.039184 0.032195 0.029378 0.035472 -0.0021462 -0.0037949 -0.0086461 -0.0022506 -0.0041384 0.014868 0.02277 -0.016535 0.0032824 -0.004871 0.011618 0.013236 -0.0093737 0.013443 0.017753 0.0015835 0.00038522 -0.012597 0.034885 0.022337 0.02652 0.015533 0.012059 0.027506 0.0021264 0.046049 0.017857 0.017667 0.025175 0.0097331 0.022756 0.013403 0.051546 0.018231 0.027796 0.021 0.011247 0.022163 0.0019929 -0.0031459 0.039596 0.036076 0.019994 0.044483 0.024393 0.025978 0.073978 0.032505 0.048116 0.023628 0.034254 0.043275 0.044997 0.053038 0.023653 0.010196 0.03033 0.062124 0.035408 0.036094 0.013707 0.036395 0.031718 0.031413 0.004587 0.030611 -0.012896 0.011077 0.042387 0.025026 0.020565 0.039134 0.052868 0.016802 0.051739 0.040491 0.053376 0.027117 0.054362 0.044946 0.067928 0.057661 0.064175 0.056041 0.048409 0.064244 0.080908 0.078219 0.03498 0.090028 0.04721 0.077248 0.095082 0.085647 0.11989 0.10467 0.11641 0.083661 0.075598 0.1187 0.097638 0.059398 0.098579 0.070237 0.067234 0.043447 0.059461 0.050269 0.031683 0.065516 0.067087 0.053635 0.024783 0.046386 0.051072 0.024774 0.032433 0.058446 0.019227 0.05841 0.017178 0.064751 -0.0024057 0.054778 0.039552 0.02468 0.041159 0.037129 0.034412 0.023451 0.0097611 -0.009312 0.045096 0.010225 0.019974 0.014875 0.032133 0.043398 0.040603 0.031712 0.037651 0.014626 0.026191 0.015037 0.040493 0.045928 0.032659 0.061545 0.042498 0.018164 0.027494 0.034963 0.019271 0.013168 0.052765 0.0014422 0.05451 0.011631 0.032039 0.047583 0.029966 0.014034 0.019751 0.011352 0.054478 0.035578 0.027171 0.014006 0.0088285 0.014508 0.021739 0.016854 0.025853 0.015783 0.040564 0.060789 0.024727 0.068752 0.042635 0.037936 0.033312 0.057653 0.065841 0.048537 0.052394 0.052866 0.041581 0.067353 0.037981 0.056524 0.037323 0.032504 0.037209 0.081059 0.029655 0.091017 0.071783 0.086171 0.10011 0.10928 0.12218 0.10367 0.082205 0.086467 0.041157 0.075292 0.094732 0.070329 0.062597 0.050854 0.03478 0.047989 0.019726 0.041537 0.00085556 0.024698 0.014397 -0.005187 0.021343 0.024843 0.012504 0.018967 0.028665 0.021305 0.033875 0.030962 0.046236 0.044435 0.031214 0.038116 0.054544 0.054263 0.017408 0.0019647 0.021713 -0.0099714 0.0016003 0.0017561 0.001814 0.023902 -0.010547 0.019149 -0.0055311 0.037313 0.035436 -0.0074101 0.032448 0.012858 0.0024927 0.017833 -0.026709 0.0034963 -0.0089101 -0.031686 0.054276 0.023141 0.035508 0.064161 0.054984 0.048533 0.032011 0.044646 0.064712 0.03908 0.054516 0.066774 0.045202 0.059607 0.042063 0.062219 0.066339 0.049359 0.060484 0.052669 0.07188 0.061131 0.061478 0.037424 0.04614 0.04992 0.016784 0.065458 0.0056488 0.02079 0.031838 0.023215 0.012482 0.022637 -0.0059205 0.040056 0.0454 0.018865 0.013189 0.032462 0.040831 0.033174 0.035097 0.040624 0.022714 0.036336 0.0097917 0.026061 0.0392 0.020468 0.030707 0.018261 -0.0081044 -0.0010368 0.0010376 0.05354 0.029292 0.029446 -0.0050144 -0.011539 0.028092 0.024207 0.0032859 -0.012651 0.014945 0.022855 0.033865 0.037402 0.019814 0.0048601 0.010959 -0.0086559 0.007165 0.022746 -0.00073329 0.0092771 0.020574 0.0069603 0.034545 -0.018072 0.013652 -0.020744 -0.0097565 -0.0015314 0.01201 0.023556 0.040393 0.040679 0.00059931 0.0022735 0.0096983 0.02182 0.02231 -0.016596 0.020143 -0.019129 -0.0017141 -0.026836 0.021753 0.041786 0.030102 -0.011429 0.010968 0.013062 -0.0069723 0.0090551 0.01445 -0.0063912 -0.0048845 0.031877 0.019974 0.039832 0.0018867 -0.0099356 0.019458 -0.0059736 0.041613 0.007996 0.0028459 -0.009251 -0.014314 0.0073187 0.004455 0.042518 -0.026502 0.023382 0.027508 -0.016092 -0.0121 0.036465 0.0031075 0.0058308 0.010486 0.0073649 0.0044189 0.021133 0.044787 -0.0026345 0.043849 -0.019441 0.00042339 0.021097 0.009936 -0.0035929 0.021136 0.004507 0.006267 0.0041469 -0.0056223 0.011509
