m_id,day_of_study,true_label,predicted_label
1281,17,1,0
1281,19,1,0
1276,19,1,0
1383,19,0,1
1270,19,0,1
1382,19,1,0
1263,19,0,1
1263,19,0,1
1281,19,1,0
1285,19,1,0
1270,21,0,1
