m_id_1263,day_of_study,true_label,predicted_label
1263,11,0,0
1263,14,0,0
1263,14,0,0
1263,17,0,0
1263,17,0,0
1263,17,0,0
1263,19,0,0
1263,19,0,0
1263,19,0,0
1263,21,0,0
1263,21,0,0
1263,21,0,0
1263,23,0,0
1263,23,0,0
1263,23,0,0
1263,23,0,0
1263,25,0,0
1263,25,0,0
1263,27,0,0
1263,29,0,0
1263,29,0,0
1263,31,0,0
1263,33,0,0
1263,33,0,0
1263,33,0,0
1263,35,0,0
1263,35,0,0
1263,37,0,0
1263,37,0,0
1263,37,0,0
1263,39,0,0
1263,39,0,0
1263,41,0,0
1263,41,0,0
1263,41,0,0
1263,43,0,0
1263,43,0,0
1263,43,0,0
1263,45,0,0
1263,45,0,0
1263,45,0,0
1263,45,0,0
1263,47,0,0
1263,47,0,0
1263,47,0,0
1263,47,0,0
