feature,importance
rolling_mean_3_original_ngtdm_Busyness,0.13138162
logarithm_gldm_DependenceEntropy,0.0979069
rolling_mean_3_original_shape2D_Elongation,0.078068495
squareroot_glcm_ClusterShade,0.05783356
wavelet-LL_glrlm_RunLengthNonUniformity,0.056595396
rolling_mean_3_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.048324313
delta_2_exponential_glrlm_ShortRunHighGrayLevelEmphasis,0.043217722
rolling_mean_3_original_glrlm_RunEntropy,0.039759047
squareroot_firstorder_Entropy_lag_1,0.036645252
squareroot_firstorder_Entropy,0.032680433
square_firstorder_Mean,0.03198605
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.025560746
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.02544196
wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.021456214
rolling_mean_3_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.01984279
rolling_mean_3_wavelet-LH_firstorder_Skewness,0.01829272
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,0.017158093
rolling_mean_3_log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.016461704
squareroot_gldm_DependenceEntropy,0.0147474995
rolling_mean_3_log-sigma-3-0-mm-3D_firstorder_Range,0.013184901
rolling_mean_3_square_glrlm_ShortRunHighGrayLevelEmphasis,0.012786655
rolling_mean_3_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.012390995
original_ngtdm_Busyness,0.011515852
original_shape2D_Elongation,0.011077489
delta_2_square_glrlm_ShortRunHighGrayLevelEmphasis,0.00949632
rolling_mean_3_wavelet-LL_glrlm_RunEntropy,0.009249116
slope_3_wavelet-LL_gldm_DependenceNonUniformityNormalized,0.008165511
rolling_mean_3_wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,0.007999275
rolling_mean_3_log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.007950918
original_firstorder_Entropy,0.0067040385
rolling_mean_3_exponential_glrlm_GrayLevelNonUniformityNormalized,0.0061081103
