m_id_1270,day_of_study,true_label,predicted_label
1270,10,0,0
1270,10,0,0
1270,10,0,0
1270,15,0,0
1270,15,0,0
1270,15,0,0
1270,17,0,0
1270,17,0,0
1270,19,0,0
1270,19,0,0
1270,19,0,0
1270,21,0,0
1270,21,0,0
1270,21,0,0
1270,23,0,0
1270,23,0,0
1270,23,0,0
1270,23,0,0
1270,25,0,0
1270,25,0,0
1270,25,0,0
1270,25,0,0
1270,27,0,0
1270,27,0,0
1270,27,0,0
1270,29,0,0
1270,29,0,0
1270,29,0,0
1270,31,0,0
1270,31,0,0
1270,31,0,0
1270,31,0,0
1270,33,0,0
1270,33,0,0
1270,33,0,0
1270,35,0,0
1270,35,0,0
1270,35,0,0
1270,35,0,0
1270,37,0,0
1270,37,0,0
1270,37,0,0
1270,37,0,0
