metric,point_estimate,ci_lower_2_5,ci_upper_97_5,n_bootstrap_valid
AUC,0.8014629049111807,0.7328346381550994,0.865830952598371,10000
Sensitivity,0.6060606060606061,0.4857142857142857,0.7246376811594203,10000
Specificity,0.853448275862069,0.8068669527896996,0.8971993908544725,10000
PPV,0.5405405405405406,0.4242245989304813,0.6527777777777778,10000
Accuracy,0.7986577181208053,0.7516778523489933,0.8422818791946308,10000
