window,n_exams,day_threshold,AUC,Sensitivity,Specificity
early,101,<=21,0.7405618964003512,0.5588235294117647,0.8208955223880597
mid,100,<=31,0.7674666666666666,0.56,0.8133333333333334
late,97,>31,0.9873015873015873,1.0,0.9111111111111111
