feature,mean_importance,std_importance,n_folds_selected
feat_141,0.028377906046807767,0.005868154311535382,10
feat_50,0.024273382779210807,0.007303833574544069,10
feat_71,0.02342178802937269,0.00463709693337384,10
feat_122,0.0229207263328135,0.007672374561345952,10
feat_5,0.018794340454041956,0.005588050087280096,10
feat_208,0.016403957083821297,0.006296680793248653,10
feat_153,0.016397346602752806,0.005189456692490148,10
feat_173,0.015861422382295133,0.007454370914477505,10
feat_110,0.01417609266936779,0.004655671026262818,10
feat_42,0.011944789765402674,0.0028739580119277745,10
feat_127,0.011889708787202835,0.0027216159272246635,10
feat_205,0.011373610701411963,0.00268769023772159,10
feat_63,0.01102496706880629,0.0020227803254811746,10
feat_245,0.010683300346136093,0.00593610802034307,10
feat_59,0.010229806695133448,0.002053855442318895,10
feat_177,0.009529037214815617,0.006004134565769167,10
feat_209,0.009348341310396791,0.00782127377499894,10
feat_53,0.009302022680640221,0.002453727910629537,10
feat_187,0.009122661943547428,0.005620396712491497,10
feat_114,0.009017508663237094,0.0016582642987773085,10
feat_145,0.008770153112709522,0.0018840793981888062,10
feat_117,0.008742568525485694,0.005708546491848018,10
feat_201,0.008365739788860082,0.0021111814317214326,10
feat_98,0.008323482004925609,0.002062523681261283,10
feat_217,0.008184472611173988,0.002505355695257201,10
feat_203,0.00808651209808886,0.0025485425126638233,10
feat_70,0.008040166134014726,0.0021943358091301756,10
feat_51,0.00789262866601348,0.0029286577838882996,10
feat_165,0.007761954516172409,0.0054606561748162625,10
feat_206,0.007738148747012019,0.0056765835002591065,10
feat_251,0.0075164819601923226,0.0039385851558508,10
feat_212,0.007506287517026066,0.005987648667685763,10
feat_44,0.007484379829838872,0.0018731563453805939,10
feat_41,0.0074338100384920835,0.0032264089425714146,10
feat_200,0.007343682390637696,0.004790576569331083,10
feat_179,0.007268923707306385,0.005155742815851504,10
feat_58,0.007202381733804941,0.0034447648202330827,10
feat_207,0.007103409571573138,0.001849909927037111,10
feat_12,0.007056913850829005,0.0023433362388705936,10
feat_131,0.007051541469991207,0.004510191266708896,10
feat_84,0.007035874389111995,0.002336711356765663,10
feat_164,0.006998693430796265,0.0029819060692584123,10
feat_142,0.0069502007216215135,0.0018989139992982896,10
feat_83,0.006906806421466172,0.0023940144867422883,10
feat_14,0.006888810894452035,0.0033265542456855364,10
feat_67,0.006826577521860599,0.001862127710901122,10
feat_252,0.006780733889900148,0.005213346856468626,10
feat_246,0.006767111690714955,0.005412551156624142,10
feat_106,0.006743275537155568,0.00318739284858265,10
feat_250,0.006695728003978729,0.002177230784293216,10
feat_81,0.0066045285086147485,0.0033056120023601905,10
feat_163,0.006531671551056206,0.007718623329494817,10
feat_93,0.006514062080532313,0.007654955845109008,10
feat_198,0.006461369106546044,0.00304904767630688,10
feat_188,0.006321192276664079,0.0033795120901775736,10
feat_4,0.006281216791830957,0.0031769708864392114,10
feat_36,0.006252734735608101,0.0035339616507188533,10
feat_149,0.006134836678393185,0.0022983734106291303,10
feat_242,0.006082425569184124,0.0037349268498916978,10
feat_229,0.006000740162562579,0.00518348402636478,10
feat_236,0.005981030443217605,0.004080564691764012,10
feat_223,0.0059066670597530905,0.004454500123623898,10
feat_2,0.005846039159223437,0.0027654005163966332,10
feat_55,0.005807042733067647,0.0034463777639447157,10
feat_20,0.005805443302961066,0.0031765183508236624,10
feat_119,0.005794518801849335,0.004630474881845967,10
feat_80,0.0057735133450478315,0.0030616176427159464,10
feat_214,0.005749704781919718,0.005364274697811283,10
feat_158,0.005725782783702016,0.007141931176522898,10
feat_243,0.005678023875225336,0.004061911637638939,10
feat_27,0.005536812008358538,0.0025637277764608796,10
feat_167,0.005357050616294145,0.003058312721277904,10
feat_210,0.005290345242246986,0.00488094202770004,10
feat_86,0.005196078540757298,0.0028898852397963434,10
feat_48,0.005160485301166773,0.0033118600443415485,10
feat_159,0.005156963295303285,0.0023694095545396276,10
feat_76,0.005078389123082161,0.0029254928243833975,10
feat_38,0.005056504346430302,0.0038418448523062127,10
feat_181,0.005031453724950552,0.0032473483824661214,10
feat_151,0.005003408412449062,0.00326295073595777,10
feat_155,0.004972950089722872,0.0035647003057435703,10
feat_39,0.00496745360433124,0.0024947271301296735,10
feat_226,0.004943024576641619,0.003969614678241505,10
feat_234,0.004938196414150298,0.0038870923249735225,10
feat_102,0.004937064880505204,0.003384564481116332,10
feat_88,0.004932568781077862,0.0027395925590516213,10
feat_254,0.004927259823307395,0.002852734949378069,10
feat_150,0.004925505199935287,0.005988002080391634,10
feat_46,0.004923941334709525,0.0026906030460510048,10
feat_166,0.004779116157442332,0.004447113714782483,10
feat_143,0.004589788825251162,0.003096202926811772,10
feat_220,0.004562712856568396,0.0040730501982485425,10
feat_89,0.00451727764448151,0.004355499806869452,10
feat_100,0.00450352369225584,0.004669121958577852,10
feat_97,0.004426464764401316,0.004824869160993222,10
feat_219,0.00427959868684411,0.0037139803206835387,10
feat_248,0.004249448538757861,0.0033580481052473393,10
feat_195,0.00423871047096327,0.0036034208311605895,10
feat_105,0.0042369739967398345,0.006553135155209144,10
feat_180,0.004198024934157729,0.004229045804588013,10
feat_90,0.004192964313551784,0.0037784576618131484,10
feat_138,0.004163747280836105,0.002958496458533359,10
feat_191,0.004123373236507177,0.0028622485697978256,10
feat_161,0.004110587172908709,0.003958307430501563,10
feat_144,0.004017639649100601,0.0020332943130209084,10
feat_146,0.003916576004121453,0.004874375448460169,10
feat_107,0.003914666804485023,0.0034518646491361027,10
feat_238,0.003825920354574919,0.0034353522118739967,10
feat_183,0.0036133977700956166,0.003609944631486834,10
feat_109,0.0035361253656446935,0.005013651024877339,10
feat_116,0.0035281067597679795,0.003177854514061438,10
feat_17,0.0034780791960656644,0.0026949676542942255,10
