mouse_id,y_true,n_exams,day_range,prob_uniform,pred_uniform,prob_linear,pred_linear,prob_quad,pred_quad
1263,0,56,11–47,0.3899316220943417,0,0.3739959680959979,0,0.355432679628826,0
1264,0,43,11–39,0.3156892043906589,0,0.3228929560101259,0,0.33067251959205657,0
1270,0,43,10–37,0.3150288978981417,0,0.2934429791705175,0,0.28141582815295446,0
1276,1,21,11–45,0.6040339668591818,1,0.6182212348368457,1,0.6335012490950338,1
1281,1,12,10–27,0.5943677847584089,1,0.6217262817753686,1,0.6468860179740112,1
1284,1,8,10–27,0.6243721768260002,1,0.6515046538977788,1,0.6739063888966429,1
1285,1,17,9–31,0.4756321705439511,0,0.4578265875742127,0,0.44371666300665313,0
1380,0,47,11–41,0.29540320121227426,0,0.29247719292624696,0,0.2909712832227362,0
1382,1,8,11–29,0.3474522028118372,0,0.3578850191173165,0,0.3658738575338166,0
1383,0,43,11–49,0.4041480792816295,0,0.37545726226736587,0,0.35288690005001017,0
